,lamb,fun,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9
207,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
208,0.34551072945922184,-15543.850301013154,3.0240154171106823,1183.44911675,823.04240391,867.70833671,591.73674204,509.1518288,616.73995355,3005.31425674,585.5122916,455.49779382
209,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
210,0.34551072945922184,-15543.694095206454,6.048030834221365,1183.3957218,823.04870961,864.646349,590.69160241,509.39460731,614.12129556,3005.3143558,585.51223791,455.49780755
211,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
212,0.34551072945922184,-15543.3533773613,12.09606166844273,1183.28929774,823.06124565,858.52291937,588.66849328,509.86474197,608.92979358,3005.31419577,585.51224903,455.49775093
213,0.34551072945922184,-15543.996778355966,1.1812560223088603e-07,1183.50260189,823.03612857,870.77048768,592.80552596,508.9038159,619.37448602,3005.31430414,585.51226753,455.49776709
214,0.34551072945922184,-15542.564428504455,24.19212333688546,1183.07670077,823.08634695,846.27809973,584.86898102,510.74892281,598.7187338,3005.31420952,585.51225403,455.49775756
215,0.34551072945922184,-15543.245897405535,13.879436758897644,1183.2578425,823.06499333,856.71738377,588.08828167,509.99964824,607.41028639,3005.31422826,585.51227691,455.49778584
216,0.34551072945922184,-15543.179744994886,14.952107451878206,1183.23901732,823.06720938,855.63145635,587.74278375,510.0799996,606.49871017,3005.31418601,585.5123006,455.49773569
217,0.34551072945922184,-15543.175010962692,15.028179295270386,1183.2375947,823.06737216,855.55445504,587.71833566,510.08571158,606.43409521,3005.31416741,585.51229955,455.497755
218,0.34551072945922184,-15543.175057751207,15.027427886304622,1183.23768549,823.06736175,855.55523651,587.7185884,510.08557177,606.43475216,3005.31415881,585.51232611,455.49779514
219,0.43754793750741844,-15543.99677835994,1.9263570211771956e-08,1183.50253165,823.03606646,870.77050149,592.80547575,508.90380281,619.37450687,3005.31427836,585.51223514,455.49779714
220,0.43754793750741844,-15543.996622783821,0.0019263570211771957,1183.50240185,823.0361369,870.7686017,592.80457986,508.9040488,619.37295183,3005.31435815,585.51226036,455.49778248
221,0.43754793750741844,-15543.99677835994,1.9263570211771956e-08,1183.50253165,823.03606646,870.77050149,592.80547575,508.90380281,619.37450687,3005.31427836,585.51223514,455.49779714
222,0.43754793750741844,-15543.99646720079,0.0038527140423543914,1183.50231122,823.03612708,870.76664153,592.80365336,508.90425178,619.37148964,3005.31427267,585.51225674,455.49777188
223,0.43754793750741844,-15543.99677835994,1.9263570211771956e-08,1183.50253165,823.03606646,870.77050149,592.80547575,508.90380281,619.37450687,3005.31427836,585.51223514,455.49779714
224,0.43754793750741844,-15543.996156018657,0.007705428084708783,1183.50206905,823.0362355,870.76270361,592.80188826,508.90465117,619.36853552,3005.31436515,585.51222467,455.49777562
225,0.43754793750741844,-15543.99677835994,1.9263570211771956e-08,1183.50253165,823.03606646,870.77050149,592.80547575,508.90380281,619.37450687,3005.31427836,585.51223514,455.49779714
226,0.43754793750741844,-15543.995533590134,0.015410856169417566,1183.50163192,823.03623288,870.75498488,592.79825689,508.9055281,619.36250182,3005.31428257,585.51226814,455.49779943
227,0.43754793750741844,-15543.99677835994,1.9263570211771956e-08,1183.50253165,823.03606646,870.77050149,592.80547575,508.90380281,619.37450687,3005.31427836,585.51223514,455.49779714
228,0.43754793750741844,-15543.994288476046,0.03082171233883513,1183.5006777,823.03631324,870.73941104,592.79096214,508.90719772,619.35052719,3005.31443446,585.51226299,455.49777631
229,0.43754793750741844,-15543.99677835994,1.9263570211771956e-08,1183.50253165,823.03606646,870.77050149,592.80547575,508.90380281,619.37450687,3005.31427836,585.51223514,455.49779714
230,0.43754793750741844,-15543.991797219875,0.06164342467767026,1183.49903114,823.03647505,870.70833876,592.77641282,508.91057786,619.32647231,3005.3142789,585.51228024,455.49778209
231,0.43754793750741844,-15543.99677835994,1.9263570211771956e-08,1183.50253165,823.03606646,870.77050149,592.80547575,508.90380281,619.37450687,3005.31427836,585.51223514,455.49779714
